Date,Amount,CategoryName,Description
04/23/2025,5.99,Online Subscription,Paramount Plus(Paypal)
04/23/2025,17.89,Food w/ Conner,Leos
04/19/2025,30.65,Gas,Gas
04/18/2025,121.70,Groceries (Shared),Walmart
04/17/2025,3.90,College,College Transcript
04/17/2025,75.22,Groceries (Shared),Sams Club
04/16/2025,4920.00,College,Classes
04/16/2025,30.39,College,Cap and Gown
04/16/2025,31.35,Food w/ Conner,Little Joes
04/16/2025,10.99,Online Subscription,Soundcloud(Paypal)
04/15/2025,48.20,Food w/ Conner,Applebees
04/14/2025,44.79,Food w/ Conner,Blondies (CHICKEN STIPS)
04/14/2025,21.04,Food w/ Conner,Oliver Ts (only conner + lemonade)
04/14/2025,21.04,Food Solo,Wendys
04/14/2025,92.55,Consumers,Consumers
04/13/2025,37.62,Food w/ Conner,Hill Road Grill Breakfast
04/12/2025,10.27,Food Solo,Tropical Smoothie
04/11/2025,31.55,Gas,Gas
04/11/2025,7.41,Food Solo,Subway
04/09/2025,57.00,Food w/ Conner,Oliver Ts (conner late bday)
04/08/2025,11.88,Groceries (Shared),Walmart
04/07/2025,143.30,Groceries (Shared),Walmart
04/07/2025,29.30,Gas,Gas
04/07/2025,20.00,Online Subscription,ChatGPT
04/07/2025,10.59,Online Subscription,Discord(Paypal)
04/05/2025,95.14,Food w/ Conner,Saganos - Conner BDay
04/05/2025,2.11,Online Subscription,Microsoft 365 Basic(Paypal)
04/04/2025,43.29,Food w/ Conner,Blondies
04/03/2025,34.91,Gas,Gas
04/03/2025,117.54,Food w/ Conner,Chilis, Jules Bday(Paypal) - Need to get money from pierce
04/02/2025,1416.50,Rent,Rent, wifi, insurance
03/31/2025,29.04,Gas,Gas
03/31/2025,17.75,Food Solo,Poke Bowl
03/30/2025,9.99,Online Subscription,Roll 20 (Orr Group)(Paypal)
03/28/2025,42.17,Food w/ Conner,Ichiban
03/26/2025,9.68,Food Solo,Marathon Snack
03/26/2025,8.67,Food Solo,Taco Bell
03/26/2025,14.99,Online Subscription,Canva(Paypal)
03/25/2025,33.33,Gas,Gas
03/25/2025,7.94,Food Solo,Food Mart Sandwhich and Drink
03/23/2025,5.99,Online Subscription,Paramount Plus(Paypal)
03/21/2025,336.42,Groceries (Shared),All March Groceries
03/17/2025,7.08,Food Solo,McDonalds(Paypal)
03/17/2025,10.99,Online Subscription,Soundcloud(Paypal)
03/16/2025,12.55,Food Solo,Panda Express(Paypal)
03/14/2025,11.87,Food w/ Conner,McDonalds(Paypal)
03/13/2025,88.19,Consumers,Consumers
03/08/2025,1416.50,Rent,Rent, wifi, insurance
03/06/2025,2.11,Online Subscription,Microsoft 365 Basic(Paypal)
03/03/2025,10.59,Online Subscription,Discord(Paypal)
